new_channels,C3,C4,F3,F4,Fz,P3,P4,Pz,O1,O2,T7,T8,P7,P8,M1,M2,EMG1,EMG2,HEOG1,HEOG2,VEOG1,VEOG2
EMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
HEOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
VEOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
C3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
C4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
Cz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
F3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
F4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
Fz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
P3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
P4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
Pz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
O1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
O2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0
T7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5,-0.5,0,0,0,0,0,0
T8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5,-0.5,0,0,0,0,0,0
P7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5,-0.5,0,0,0,0,0,0
P8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,-0.5,0,0,0,0,0,0
